ID,dataset group name,Dataset Name,Host,Guest,Ex _G_(kcal/mol),Ex _G_SEM,EX _H_(kcal/mol),EX _H_SEM,pb_guest_Etot,pb_guest_VDWAALS,pb_guest_EELEC,pb_guest_EPB,pb_guest_ECAVITY,pb_host_Etot,pb_host_VDWAALS,pb_host_EELEC,pb_host_EPB,pb_host_ECAVITY,pb_complex_Etot,pb_complex_VDWAALS,pb_complex_EELEC,pb_complex_EPB,pb_complex_ECAVITY,gb_Complex_Etot,gb_Complex_1-4EEL,gb_Complex_EELEC,gb_Complex_EGB,gb_Complex_ESURF,gb_guest_Etot,gb_guest_1-4EEL,gb_guest_EELEC,gb_guest_EGB,gb_guest_ESURF,gb_host_Etot,gb_host_1-4EEL,gb_host_EELEC,gb_host_EGB,gb_host_ESURF,gb_delta_H,pb_delta_H,EX _delta_H_(kcal/mol),gb_Ex_difference,SQR_gbnsr6_Ex_difference,pb_Ex_difference
1,Mobley benchmarkset,cd-set1,acd,guest-1,-1.575,0.019,-2.17,0.05,-47.8832,-0.0564,16.4764,-65.7376,1.4344,-569.5795,-28.5717,-428.952,-117.2248,5.1691,-618.3035,-40.2895,-402.7811,-180.2048,4.9718,-124.2654,435.8248,-402.7811,-162.2809,4.9718,-37.2778,12.2487,16.4764,-67.4372,1.4344,-96.654,423.5761,-428.952,-96.4471,5.1691,-1.99500000000003,-0.840799999999945,-2.17,0.174999999999967,0.030624999999989,1.32920000000006
2,Mobley benchmarkset,cd-set1,acd,guest-2,-3.533,0.004,-4.19,0.02,-52.0758,-0.3831,11.5637,-65.0001,1.7438,-550.6551,-27.1334,-397.9784,-130.6159,5.0726,-611.2118,-44.0766,-376.0288,-196.0953,4.9888,-118.5231,428.9798,-376.0288,-176.463,4.9888,-37.1659,16.3135,11.5637,-66.7869,1.7438,-86.6549,412.6663,-397.9784,-106.4154,5.0726,-11.2624,-8.48090000000013,-4.19,-7.07239999999999,50.0188417599998,-4.29090000000013
3,Mobley benchmarkset,cd-set1,acd,guest-3,-4.606,0.007,-5.46,0.03,-51.5323,-0.6493,11.3698,-64.3157,2.0628,-571.7392,-29.093,-429.3068,-118.4746,5.1352,-637.0949,-48.7146,-410.1856,-183.5218,5.327,-125.3753,443.1017,-410.1856,-163.6184,5.327,-35.816,16.8092,11.3698,-66.0578,2.0628,-93.1242,426.2925,-429.3068,-95.2452,5.1352,-15.4074,-13.8234000000001,-5.46,-9.9474,98.9507667599999,-8.36340000000011
4,Mobley benchmarkset,cd-set1,acd,guest-4,-2.13,0.016,-2.74,0.02,2.3898,-0.0159,11.2809,-10.2083,1.333,-558.4063,-29.6231,-416.5215,-117.3465,5.0849,-567.3484,-43.0228,-405.0136,-124.2571,4.9451,-112.615,389.7009,-405.0136,-102.2474,4.9451,-26.6261,-30.3678,11.2809,-8.8723,1.333,-88.8141,420.0687,-416.5215,-97.4461,5.0849,-10.5586,-11.3319,-2.74,-7.81860000000001,61.1305059600002,-8.59190000000002
5,Mobley benchmarkset,cd-set1,acd,guest-5,-2.51,0.06,-2.99,0.23,-3.228,-0.9041,5.6626,-9.5379,1.5514,-569.257,-28.8169,-435.9689,-109.5594,5.0881,-586.5335,-46.8309,-431.7111,-113.0057,5.0142,-105.4031,414.8143,-431.7111,-93.5205,5.0142,-11.5809,-10.9172,5.6626,-7.8776,1.5514,-96.3804,425.7315,-435.9689,-91.2312,5.0881,-14.5517,-14.0485000000001,-2.99,-11.5617,133.67290689,-11.0585000000001
6,Mobley benchmarkset,cd-set1,acd,guest-6,-1.506,0.036,-2.53,0.12,-56.4635,-0.18,20.7874,-78.389,1.3182,-567.7269,-29.5037,-421.3737,-122.0287,5.1792,-631.85,-43.3678,-423.2347,-170.2222,4.9746,-158.1727,409.1247,-423.2347,-149.0374,4.9746,-72.4224,-13.2848,20.7874,-81.2432,1.3182,-93.5818,422.4095,-421.3737,-99.7968,5.1792,-5.8526,-7.65960000000007,-2.53,-3.3226,11.03967076,-5.12960000000007
7,Mobley benchmarkset,cd-set1,acd,guest-7,-3.38,0.005,-3.4,0.02,-71.4929,-0.7283,5.2092,-77.6277,1.6538,-558.3228,-32.1483,-398.7469,-132.4588,5.0312,-640.8398,-50.323,-413.3124,-182.1048,4.9003,-134.8209,432.7899,-413.3124,-159.1988,4.9003,-62.7235,10.4248,5.2092,-80.0113,1.6538,-77.6805,422.3651,-398.7469,-106.33,5.0312,-11.8633,-11.0241,-3.4,-8.46330000000001,71.6274468900002,-7.62409999999998
8,Mobley benchmarkset,cd-set1,acd,guest-8,-4.622,0.017,-4.89,0.03,-70.047,-0.9808,7.8669,-78.9082,1.975,-562.3132,-29.7414,-421.1437,-116.5491,5.121,-646.9127,-50.1526,-423.2391,-178.6633,5.1423,-157.7192,421.0379,-423.2391,-160.6604,5.1423,-68.7585,2.5746,7.8669,-81.1751,1.975,-92.573,418.4633,-421.1437,-95.0137,5.1211,-15.8181,-14.5524999999999,-4.89,-10.9281,119.42336961,-9.6624999999999
9,Mobley benchmarkset,cd-set1,acd,guest-9,-1.685,0.018,-2.57,0.06,-40.7839,-0.1053,17.6653,-59.9458,1.602,-565.0316,-30.3947,-421.9704,-117.8831,5.2166,-607.1654,-45.8539,-391.3273,-175.0181,5.034,-88.1572,452.3543,-391.3273,-154.2182,5.034,-16.5074,25.8558,17.6653,-61.6305,1.602,-84.2186,426.4985,-421.9704,-93.9633,5.2166,-2.7851,-1.34989999999993,-2.57,-0.2151,0.04626801,1.22010000000007
10,Mobley benchmarkset,cd-set1,acd,guest-10,-1.764,0.02,-2.68,0.07,15.6104,0.1404,75.8586,-61.9268,1.5382,-559.6313,-30.6008,-406.1717,-127.9066,5.0478,-545.949,-45.5654,-313.0269,-192.2877,4.931,-128.4127,351.8971,-313.0269,-172.2139,4.931,-56.3015,-70.0804,75.8586,-63.6179,1.5382,-83.124,421.9775,-406.1717,-103.9776,5.0478,-4.09219999999999,-1.92809999999997,-2.68,-1.41219999999999,1.99430883999997,0.751900000000028
11,Mobley benchmarkset,cd-set1,acd,guest-11,-2.72,0.004,-3.28,0.02,-51.702,-0.3717,12.1513,-65.0795,1.598,-564.8413,-31.9334,-418.625,-119.3904,5.1074,-621.6075,-46.2407,-395.5337,-184.8333,5.0003,-120.0536,437.0912,-395.5337,-166.6113,5.0003,-38.5873,14.5517,12.1513,-66.8883,1.598,-88.5404,422.5394,-418.625,-97.5622,5.1074,-6.86149999999998,-5.06419999999991,-3.28,-3.58149999999998,12.8271422499998,-1.78419999999991
12,Mobley benchmarkset,cd-set1,acd,guest-12,-3.516,0.012,-4.2,0.08,-41.1288,-0.7891,16.8307,-59.0872,1.9168,-550.8275,-28.6474,-400.939,-126.224,4.9828,-603.8937,-47.4893,-375.2795,-186.2387,5.1137,-97.7365,440.7783,-375.2795,-168.349,5.1137,-13.6899,28.3717,16.8307,-60.8091,1.9168,-88.6085,412.4066,-400.939,-105.059,4.9828,-13.4909,-11.9374,-4.2,-9.29089999999998,86.3208228099997,-7.73740000000003
13,Mobley benchmarkset,cd-set1,acd,guest-13,-3.604,0.004,-4.28,0.02,-8.3044,-0.2628,52.0518,-61.9471,1.8537,-549.2501,-30.685,-391.0571,-132.5913,5.0833,-566.6423,-50.0229,-344.3053,-177.2675,4.9535,-139.1219,360.0012,-344.3053,-159.7713,4.9535,-59.069,-49.3723,52.0518,-63.6022,1.8537,-87.1586,409.3735,-391.0571,-110.5583,5.0833,-11.9694,-9.08780000000002,-4.28,-7.68939999999998,59.1268723599997,-4.80780000000002
14,Mobley benchmarkset,cd-set1,acd,guest-14,-4.137,0.004,-4.66,0.02,-51.9089,-0.688,11.3413,-64.5095,1.9472,-564.2737,-29.2511,-401.3316,-138.8019,5.1109,-629.5797,-49.0065,-378.1315,-207.6078,5.166,-124.2113,436.7039,-378.1315,-187.9497,5.166,-35.8932,16.8888,11.3413,-66.0705,1.9472,-92.319,419.815,-401.3316,-115.9134,5.1109,-15.0665,-13.3971,-4.66,-10.4065,108.29524225,-8.73710000000002
15,Mobley benchmarkset,cd-set1,acd,guest-15,-4.166,0.004,-4.74,0.02,-10.2171,-0.4231,50.6137,-62.4443,2.0366,-563.2817,-28.3094,-420.305,-119.7618,5.0945,-583.1574,-47.8325,-362.6281,-177.7223,5.0255,-154.3502,371.2406,-362.6281,-167.9881,5.0255,-56.9169,-45.4646,50.6137,-64.1026,2.0366,-103.2204,416.7052,-420.305,-104.7151,5.0945,-13.3129,-9.65860000000009,-4.74,-8.57290000000001,73.4946144100002,-4.91860000000009
16,Mobley benchmarkset,cd-set1,acd,guest-16,-2.022,0.016,-2.75,0.05,-0.76,0.1861,7.9702,-10.1307,1.2144,-560.5006,-28.5523,-406.7168,-130.3035,5.072,-570.627,-39.9059,-399.734,-135.8925,4.9053,-111.2527,397.6888,-399.734,-114.1129,4.9053,-21.8322,-21.8916,7.9702,-9.1252,1.2144,-92.8026,419.5804,-406.7168,-110.7382,5.072,-8.1576,-9.3664,-2.75,-5.4076,29.24213776,-6.6164
17,Mobley benchmarkset,cd-set1,acd,guest-17,-3.227,1.135,-0.93,0.32,-5.0152,-0.6542,4.2066,-10.2304,1.6629,-564.9328,-25.8244,-437.2679,-106.9166,5.0761,-581.7721,-42.5323,-432.5304,-111.7555,5.046,-109.7615,412.5202,-432.5304,-94.7974,5.046,-13.7608,-10.7256,4.2066,-8.9047,1.6629,-100.5705,423.2458,-437.2679,-91.6246,5.0761,-11.4839,-11.8240999999999,-0.93,-10.5539,111.38480521,-10.8940999999999
18,Mobley benchmarkset,cd-set1,acd,guest-18,-2.596,0.005,-2.75,0.01,-74.9706,-0.3414,3.0144,-79.1318,1.4882,-564.6525,-31.5748,-395.4914,-142.6214,5.0351,-647.2661,-48.1415,-428.3186,-175.6289,4.8229,-148.0609,428.1475,-428.3186,-152.7128,4.8229,-74.6257,2.4931,3.0144,-81.6214,1.4882,-81.2172,425.6545,-395.4914,-116.4153,5.0351,-8.44330000000002,-7.64300000000003,-2.75,-5.69330000000002,32.4136648900002,-4.89300000000003
19,Mobley benchmarkset,cd-set1,acd,guest-19,-3.344,0.01,-4.12,0.06,-108.4722,-0.451,-29.6209,-80.0158,1.6155,-554.0232,-27.3337,-397.2789,-134.5599,5.1493,-668.9876,-43.6261,-448.3987,-181.94,4.9772,-145.2365,458.4954,-448.3987,-160.3104,4.9772,-68.147,41.8648,-29.6209,-82.0064,1.6155,-86.072,416.6306,-397.2789,-110.573,5.1493,-6.85890000000003,-6.49220000000003,-4.12,-2.73890000000003,7.50157321000019,-2.37220000000003
20,Mobley benchmarkset,cd-set1,acd,guest-20,-3.011,0.01,-3.36,0.05,-58.8733,-0.771,19.8072,-79.535,1.6255,-562.0225,-29.7112,-414.4115,-122.9885,5.0886,-629.0728,-47.4249,-422.7012,-163.8286,4.8819,-129.3039,433.5625,-422.7012,-145.0472,4.8819,-49.6371,10.8392,19.8072,-81.909,1.6255,-88.5191,422.7233,-414.4115,-101.9195,5.0886,-8.09040000000002,-8.17700000000002,-3.36,-4.73040000000002,22.3766841600002,-4.81700000000002
21,Mobley benchmarkset,cd-set1,acd,guest-21,-3.991,0.013,-4.19,0.09,-70.0187,-0.8065,8.6868,-79.7147,1.8157,-561.1469,-29.3854,-392.3947,-144.3678,5.001,-644.1034,-49.1928,-412.0417,-187.7786,4.9097,-143.8768,426.4795,-412.0417,-163.2243,4.9097,-65.4863,5.7365,8.6868,-81.7253,1.8157,-82.6763,420.743,-392.3947,-116.0256,5.001,-14.7151,-12.9378,-4.19,-10.5251,110.77773001,-8.74780000000004
22,Mobley benchmarkset,cd-set1,acd,guest-22,-3.597,0.004,-4.48,0.02,-72.2034,-0.7476,7.1683,-80.405,1.7809,-560.8236,-32.4843,-407.9364,-125.4441,5.0412,-646.4312,-51.7214,-409.1274,-190.5455,4.9632,-145.08,433.3991,-409.1274,-174.3148,4.9632,-60.7484,13.4171,7.1683,-83.1147,1.7809,-87.4527,419.982,-407.9364,-104.5395,5.0412,-15.3684,-13.4041999999999,-4.48,-10.8884,118.55725456,-8.92419999999995
23,Mobley benchmarkset,cd-set2,bcd,guest-1,-2.486,0.084,0.6,0.05,-52.4013,-0.3816,11.4951,-65.2392,1.7244,-658.3706,-32.461,-475.9529,-155.9068,5.9502,-715.1588,-45.9909,-455.9372,-218.9603,5.7296,-133.8093,510.6662,-455.9372,-194.268,5.7296,-37.798,16.099,11.4951,-67.1165,1.7244,-103.2494,494.5672,-475.9529,-127.8139,5.9502,-5.91020000000003,-4.38690000000008,0.6,-6.51020000000003,42.3827040400004,-4.98690000000008
24,Mobley benchmarkset,cd-set2,bcd,guest-2,-3.585,0.12,-0.48,0.03,-51.3396,-0.537,11.4949,-64.3805,2.083,-664.2951,-30.1805,-512.9161,-127.1022,5.9038,-724.6922,-44.4014,-492.3344,-193.9347,5.9783,-150.7037,513.1294,-492.3344,-177.477,5.9783,-36.1295,16.1817,11.4949,-65.889,2.083,-117.4711,496.9477,-512.9161,-107.4064,5.9038,-10.787,-9.05749999999989,-0.48,-10.307,106.234249,-8.57749999999989
25,Mobley benchmarkset,cd-set2,bcd,guest-3,-3.05,0.01,-1.09,0.01,2.6721,-0.2102,11.4711,-9.9341,1.3453,-655.6313,-35.7162,-500.5384,-125.2268,5.8501,-662.8542,-48.9603,-489.6191,-129.843,5.5682,-135.9322,458.5854,-489.6191,-110.4666,5.5682,-27.2824,-31.1646,11.4711,-8.9343,1.3453,-111.8654,489.7499,-500.5384,-106.927,5.8501,-9.81829999999999,-9.89499999999998,-1.09,-8.72829999999999,76.1832208899999,-8.80499999999998
26,Mobley benchmarkset,cd-set2,bcd,guest-4,-4.541,0.008,-2.17,0.02,-7.3841,-0.9454,1.9234,-9.9248,1.5627,-657.8,-32.0456,-493.1739,-138.4773,5.8968,-679.2148,-49.8503,-491.5976,-143.3782,5.6113,-122.7095,481.5631,-491.5976,-118.2863,5.6113,-19.4122,-14.3757,1.9234,-8.5225,1.5627,-105.2313,495.9388,-493.1739,-113.8931,5.8968,-14.9253,-14.0307,-2.17,-12.7553,162.69767809,-11.8607
27,Mobley benchmarkset,cd-set2,bcd,guest-5,-4.56,0.011,-2.96,0.01,-2.6649,-0.6581,5.6233,-9.1704,1.5403,-652.0011,-30.321,-489.2507,-138.3938,5.9643,-668.5052,-48.4317,-484.061,-141.6558,5.6432,-117.1864,480.3267,-484.061,-119.0954,5.6432,-11.7225,-11.174,5.6233,-7.7121,1.5403,-108.9611,491.5007,-489.2507,-117.1754,5.9643,-13.9554,-13.8392,-2.96,-10.9954,120.89882116,-10.8792
28,Mobley benchmarkset,cd-set2,bcd,guest-6,-1.267,0.323,1.89,0.53,-75.7467,-0.3575,2.9062,-79.7771,1.4818,-666.5848,-34.7647,-487.4255,-150.3297,5.935,-748.0052,-47.4039,-513.2384,-193.0354,5.6726,-176.6205,501.517,-513.2384,-170.5717,5.6726,-75.3818,2.5836,2.9062,-82.3533,1.4818,-108.5145,498.9334,-487.4255,-125.9574,5.935,-5.00589999999997,-5.67369999999994,1.89,-6.89589999999997,47.5534368099996,-7.56369999999994
29,Mobley benchmarkset,cd-set2,bcd,guest-7,-3.394,0.179,0.42,0.04,-68.6879,-0.6766,8.754,-78.579,1.8137,-661.4972,-29.4625,-495.0073,-142.8706,5.8433,-741.2205,-43.4981,-505.7685,-197.7201,5.7662,-168.6486,504.7287,-505.7685,-173.3749,5.7662,-64.7938,5.941,8.754,-81.3024,1.8137,-106.0676,498.7877,-495.0073,-115.6912,5.8433,-11.1462,-11.0354,0.42,-11.5662,133.77698244,-11.4554
30,Mobley benchmarkset,cd-set2,bcd,guest-8,-1.64,0.024,-2.51,0.08,-75.3435,-0.492,1.3785,-77.6946,1.4647,-656.1663,-33.5223,-485.996,-142.5054,5.8573,-738.4205,-46,-493.3105,-204.8131,5.7031,-150.9638,517.3217,-493.3105,-180.6782,5.7031,-53.5963,23.2159,1.3785,-79.6553,1.4647,-103.0483,494.1058,-485.996,-117.0155,5.8573,-6.30489999999998,-6.91069999999991,-2.51,-3.79489999999998,14.4012660099998,-4.40069999999991
31,Mobley benchmarkset,cd-set2,bcd,guest-9,-1.697,0.048,-1.79,0.11,-51.2386,-1.2346,25.8609,-77.4623,1.5975,-666.2376,-32.366,-516.3177,-123.4944,5.9405,-728.0919,-49.1785,-508.8621,-175.8203,5.769,-172.0615,487.5653,-508.8621,-156.5336,5.769,-61.4935,-9.4237,25.8609,-79.5281,1.5975,-117.6936,496.989,-516.3177,-104.3053,5.9405,-8.45230000000004,-10.6156999999999,-1.79,-6.66230000000004,44.3862412900005,-8.82569999999995
32,Mobley benchmarkset,cd-set2,bcd,guest-10,-2.192,0.013,-2.89,0.05,-47.3442,-1.357,29.8356,-77.5945,1.7717,-651.0351,-30.3812,-486.002,-140.5815,5.9297,-710.097,-47.7124,-475.6655,-192.5277,5.8086,-167.414,474.3496,-475.6655,-171.9067,5.8086,-62.1176,-14.0914,29.8356,-79.6335,1.7717,-109.4871,488.441,-486.002,-117.8558,5.9297,-11.7835,-11.7176999999999,-2.89,-8.89349999999997,79.0943422499995,-8.82769999999992
33,Mobley benchmarkset,cd-set2,bcd,guest-11,-2.512,0.007,-1.96,0.01,-61.5561,-0.9422,15.7075,-78.1711,1.8496,-682.4952,-34.4403,-530.2231,-123.801,5.9692,-752.0756,-53.2697,-537.8328,-166.7769,5.8038,-169.0036,512.5556,-537.8328,-149.5302,5.8038,-57.3874,5.2243,15.7075,-80.1689,1.8496,-121.4925,507.3313,-530.2231,-104.5699,5.9692,-8.01089999999999,-8.02430000000004,-1.96,-6.05089999999999,36.6133908099999,-6.06430000000004
34,Mobley benchmarkset,cd-set2,bcd,guest-12,-3.599,0.018,-2.82,0.01,-58.2995,-0.9205,16.1447,-75.4008,1.8772,-656.504,-33.3603,-479.5709,-149.3789,5.8061,-728.4252,-53.8042,-507.7153,-172.5108,5.605,-116.8844,535.6855,-507.7153,-150.4596,5.605,-18.2472,41.0163,16.1447,-77.2854,1.8772,-101.9367,494.6692,-479.5709,-122.841,5.8061,-16.2239,-13.6217,-2.82,-13.4039,179.66453521,-10.8017
35,Mobley benchmarkset,cd-set2,bcd,guest-13,-2.557,0.066,0.47,0.03,-6.3763,-0.0222,52.9359,-61.1695,1.8795,-658.0916,-34.562,-478.9553,-150.5595,5.9853,-669.3904,-47.8656,-416.0062,-211.3747,5.8562,-160.8034,439.9762,-416.0062,-190.6296,5.8562,-58.8481,-50.8353,52.9359,-62.8281,1.8795,-108.9491,490.8115,-478.9553,-126.7906,5.9853,-6.28760000000003,-4.92250000000001,0.47,-6.75760000000003,45.6651577600004,-5.39250000000001
36,Mobley benchmarkset,cd-set2,bcd,guest-14,-1.554,0.167,0.88,0.17,0.1436,-0.0904,8.9984,-9.9841,1.2197,-666.0184,-35.0116,-495.0822,-141.8581,5.9335,-671.821,-45.1223,-485.9262,-146.4361,5.6637,-129.4321,474.4637,-485.9262,-123.6332,5.6637,-21.4087,-22.8047,8.9984,-8.8222,1.2197,-113.1872,497.2683,-495.0822,-121.3069,5.9335,-4.85649999999998,-5.94619999999998,0.88,-5.73649999999998,32.9074322499998,-6.82619999999998
37,Mobley benchmarkset,cd-set2,bcd,guest-15,-4.175,0.01,-2.29,0.03,-6.1893,-0.4414,1.1336,-8.455,1.5735,-665.6749,-33.7503,-493.6747,-144.1982,5.9483,-684.857,-50.954,-492.8723,-146.6533,5.6226,-123.4975,487.8395,-492.8723,-124.0872,5.6226,-17.5092,-13.0889,1.1336,-7.1274,1.5735,-108.9503,500.9283,-493.6747,-122.1523,5.9483,-13.8003,-12.9928,-2.29,-11.5103,132.48700609,-10.7028
38,Mobley benchmarkset,cd-set2,bcd,guest-16,-4.319,0.006,-2.27,0.01,-19.3196,-0.5083,-11.1169,-9.2628,1.5684,-672.4669,-32.2355,-518.2366,-127.8777,5.8828,-702.6289,-49.5247,-530.3478,-128.2976,5.5412,-130.7646,499.9186,-530.3478,-105.8767,5.5412,-22.3307,-4.939,-11.1169,-7.8432,1.5684,-112.5794,504.8576,-518.2366,-105.0833,5.8828,-12.6354,-10.8424,-2.27,-10.3654,107.44151716,-8.5724
39,Mobley benchmarkset,cd-set2,bcd,guest-17,-4.971,0.036,-3.92,0.06,-3.7638,1.166,3.2125,-9.7771,1.6348,-664.1682,-35.3852,-501.0026,-133.7423,5.962,-685.3246,-54.8286,-498.1806,-137.9663,5.6509,-122.3871,485.6057,-498.1806,-115.4631,5.6509,-13.8078,-10.2767,3.2125,-8.3784,1.6348,-111.0066,495.8825,-501.0026,-111.8485,5.962,-18.1821,-17.3926000000001,-3.92,-14.2621,203.407496410001,-13.4726000000001
40,Mobley benchmarkset,cd-set2,bcd,guest-18,-2.28,0.03,1.31,0.04,-72.7458,-0.5655,5.168,-79.0015,1.6531,-663.4313,-36.1953,-492.163,-141.0058,5.9329,-743.3207,-49.791,-508.884,-190.3256,5.6799,-160.8756,509.7068,-508.884,-167.3783,5.6799,-64.5728,10.098,5.168,-81.4919,1.6531,-102.4083,499.6088,-492.163,-115.7869,5.9329,-6.9247,-7.14359999999999,1.31,-8.2347,67.81028409,-8.45359999999999
41,Mobley benchmarkset,cd-set2,bcd,guest-19,-1.458,0.036,-2.75,0.13,-44.823,-1.0276,32.278,-77.8584,1.785,-662.9948,-33.0303,-492.907,-142.9017,5.8441,-718.0941,-49.7544,-474.0232,-200.0628,5.7464,-175.3758,471.9799,-474.0232,-179.0789,5.7464,-70.3265,-24.5879,32.278,-79.8017,1.785,-109.8065,496.5678,-492.907,-119.3115,5.8441,-10.9393,-10.2763,-2.75,-8.1893,67.06463449,-7.52629999999999
42,Mobley benchmarkset,cd-set2,bcd,guest-20,-2.156,0.01,-2.93,0.03,-44.5429,-1.3863,36.0319,-81.0453,1.8568,-672.0976,-35.5244,-507.2481,-135.226,5.9009,-725.6556,-56.5251,-487.4827,-187.1708,5.523,-167.7313,477.4768,-487.4827,-163.2484,5.523,-67.6992,-22.3874,36.0319,-83.2005,1.8568,-110.9211,499.8642,-507.2481,-109.4381,5.9009,-8.72540000000001,-9.01509999999996,-2.93,-5.79540000000001,33.5866611600001,-6.08509999999996
43,Mobley benchmarkset,cd-set2,bcd,guest-21,-3.518,0.007,-2.25,0.01,-54.0568,-1.2949,23.0443,-77.6474,1.8412,-657.0398,-31.7954,-481.0197,-150.1077,5.883,-724.6345,-49.5859,-468.3901,-212.4766,5.8182,-151.4031,497.6995,-468.3901,-186.5306,5.8182,-53.2496,1.272,23.0443,-79.4072,1.8412,-99.6917,496.4275,-481.0197,-120.9825,5.883,-14.9574,-13.5379,-2.25,-12.7074,161.47801476,-11.2879
44,Mobley benchmarkset,gdcc-set1,temoa,guest-3,-5.476,0.006,-9.961,0.006,-75.1661,-0.5307,5.2003,-81.4089,1.5732,-987.0488,-43.09,451.7958,-1404.3093,8.5547,-1072.6153,-64.3731,678.2325,-1694.6678,8.193,-666.923,357.9099,678.2325,-1711.2585,8.193,-70.0196,7.4253,5.2003,-84.2184,1.5732,-605.5736,350.4846,451.7958,-1416.4088,8.5547,-12.0821999999999,-10.4004,-9.961,-2.12119999999994,4.49948943999976,-0.43939999999999
45,Mobley benchmarkset,gdcc-set1,temoa,guest-4,-4.52,0.02,-9.1,0.1,-114.2767,0.5122,-43.7356,-72.6517,1.5984,-986.5723,-43.4125,432.0802,-1383.8081,8.5682,-1112.8974,-66.3479,615.6273,-1670.4139,8.2371,-633.7021,430.1255,615.6273,-1687.692,8.2371,-41.7361,75.1689,-43.7356,-74.7678,1.5984,-600.4492,354.9566,432.0802,-1396.0541,8.5682,-14.9644,-12.0483999999999,-9.1,-5.86439999999996,34.3911873599995,-2.9483999999999
46,Mobley benchmarkset,gdcc-set1,temoa,guest-5,-5.26,0.01,-7.6,0.1,-88.985,-0.7693,-14.1518,-75.6528,1.5889,-988.6602,-45.8061,422.9631,-1374.4472,8.63,-1085.8512,-65.7814,631.0384,-1659.4612,8.353,-631.1037,405.0513,631.0384,-1675.5464,8.353,-38.8784,52.0012,-14.1518,-78.3168,1.5889,-601.4345,353.0501,422.9631,-1386.0778,8.63,-9.99680000000001,-8.20600000000013,-7.6,-2.39680000000001,5.74465024000004,-0.606000000000131
47,Mobley benchmarkset,gdcc-set1,temoa,guest-7,-5.73,0.06,-6.62,0.2,46.8339,-0.1712,94.3197,-49.4182,2.1036,-985.6013,-43.8356,426.3398,-1376.789,8.6836,-956.3802,-65.8885,308.5245,-1207.6121,8.596,-630.8137,275.4572,308.5245,-1223.3913,8.596,-28.9529,-74.576,94.3197,-50.8003,2.1036,-602.8903,350.0332,426.3398,-1387.947,8.6836,-20.8522,-17.6127999999999,-6.62,-14.2322,202.555516840001,-10.9927999999999
